keys,es
INTRO_1_1,¡Hoy es un gran día!
INTRO_1_2,Este año estoy a cargo del puesto de juegos en la GRAN FERIA de la ciudad.
INTRO_1_3,El evento donde todas y todos participamos.
INTRO_1_4,Me pregunto donde estará Randy y Juni. Les pediré ayuda para decorar mi puesto y me acompañen.
INTRO_1_5,Espero que la Sra. Axolotl venda esos tamales que tanto me gustan.
INTRO_1_6,"Como toda la ciudad estará ahí, espero poder enseñarles el nuevo juego que inventé."
INTRO_1_7,"Hola, Randy. Estoy nervioso por la gran feria de hoy. Quería saber si me acompañarías."
INTRO_1_8,"Toda la ciudad estará, así que podemos conocer más gente que le gusten los juegos como a nosotros."
INTRO_1_9,…
INTRO_2_1,¿Randy? ¿Me escuchas? ¿Qué ves en tu celular?
INTRO_3_1,"¿Sabes, Alex? Yo creo que nadie va a ir. En internet dicen que es aburrida."
INTRO_3_2,Creo que me quedaré en casa a probar un juego nuevo.
INTRO_4_1,"Pero, Randy. ¿Eso no puede esperar? Este evento es importante para mi."
INTRO_5_1,"Lo siento, Alex. Adiós."
INTRO_6_1,"Hola, Sra. Axolotl. Usted irá a la Gran Feria, ¿cierto? Muero por probar sus famosos tamales y enseñarle los nuevos juegos de mesa que inventé."
INTRO_7_1,"Mmm… No lo sé, Alex. En internet dicen que hay una nueva serie que todos están viendo."
INTRO_7_2,Creo que me quedaré en casa a verla. No me la quiero perder.
INTRO_8_1,"Pero, Sra. Axolotl. ¿Eso no puede esperar? Este evento es importante para mi."
INTRO_9_1,"Lo siento, Alex. Adiós."
INTRO_10_1,¿Qué está pasando ahora que nadie quiere ir? Ni mis propios amigxs.
INTRO_10_2,Ambxs dijeron algo sobre internet… ¿Será que me estoy perdiendo de algo importante?
INTRO_10_3,¡Investigaré!
